,timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassX,compassY,compassZ,fusionPoseX,fusionPoseY,fusionPoseZ,tiltHeading,pressure,temperature,humidity,dt
66,2023-04-24T23:21:39.085Z,-0.003171999938786,-0.0890600010752677,-1.0008879899978638,-0.1583194136619568,0.0109515460208058,-0.0055055767297744,-64.74103546142578,33.83543014526367,-40.039695739746094,-2.9542782306671143,-0.0183444656431674,2.648356676101685,2.6186885833740234,1006.7109375,42.37334442138672,16.575075149536133,3.313
68,2023-04-24T23:21:39.185Z,0.0014639999717473,-0.1017479971051216,-1.010159969329834,-0.1358388364315033,0.0116683850064873,-0.0036112517118453,-64.77082824707031,33.83594512939453,-40.20215606689453,-2.9693312644958496,-0.0191713664680719,2.647843360900879,2.6148910522460938,1006.710205078125,42.44619369506836,16.334047317504883,3.413
70,2023-04-24T23:21:39.285Z,-0.0068319998681545,-0.0578279979526996,-1.0208959579467771,0.0790560692548751,0.0258866436779499,-0.0077547505497932,-64.74986267089844,33.886756896972656,-40.34612655639648,-2.963897943496704,-0.0212656036019325,2.647847414016724,2.631119966506958,1006.701904296875,42.57367706298828,16.780582427978516,3.513
72,2023-04-24T23:21:39.385Z,-0.0065879998728632,-0.0609999969601631,-1.024067997932434,0.0146645568311214,0.0119381044059991,-0.0124292001128196,-64.68829345703125,33.92740631103516,-40.14770126342773,-2.964841604232788,-0.0220569632947444,2.6484992504119877,2.629136562347412,1006.685791015625,42.46440505981445,16.37464141845703,3.613
74,2023-04-24T23:21:39.485Z,0.062219999730587,-0.0897919982671737,-1.0140639543533323,0.1001856923103332,0.0195739213377237,-0.0096803084015846,-64.74543762207031,33.88712692260742,-40.17935943603516,-2.9568111896514893,-0.0248783510178327,2.648738145828247,2.632883310317993,1006.676025390625,42.427978515625,16.26554298400879,3.713
76,2023-04-24T23:21:39.585Z,-0.0019519999623298,-0.0919879972934722,-1.014307975769043,-0.0998726785182952,0.0159087292850017,-0.0081531479954719,-64.83595275878906,33.89970016479492,-39.90788650512695,-2.968559503555298,-0.0260058734565973,2.6486644744873047,2.6183040142059326,1006.6689453125,42.50082778930664,16.445680618286133,3.8129999999999997
78,2023-04-24T23:21:39.685Z,-0.0026839999482035,-0.0812520012259483,-1.015771985054016,0.1634102463722229,-0.00089006498456,-0.013650931417942,-64.85236358642578,33.943359375,-39.95671081542969,-2.954432725906372,-0.02555912733078,2.6494994163513184,2.622228145599365,1006.66455078125,42.409767150878906,16.273155212402344,3.9130000000000003
80,2023-04-24T23:21:39.785Z,-0.0012199999764561,-0.1083360016345977,-1.0084519386291504,0.0663698688149452,0.0024281870573759,-0.0083164125680923,-64.90469360351562,33.83268737792969,-39.83057022094727,-2.949540615081787,-0.0253804549574852,2.649545431137085,2.612853765487671,1006.656982421875,42.46440505981445,16.202116012573242,4.013
82,2023-04-24T23:21:39.886Z,-0.0009759999811649,-0.1022359952330589,-1.0028399229049685,-0.0314419642090797,0.0014864783734083,-0.0063748434185981,-64.91295623779297,33.816951751708984,-40.11045455932617,-2.9544506072998047,-0.0250863041728734,2.6494674682617188,2.615068197250366,1006.6572265625,42.409767150878906,16.438068389892578,4.114
84,2023-04-24T23:21:39.986Z,0.0012199999764561,-0.0841799974441528,-1.010892033576965,-0.0318144261837005,0.0047647878527641,-0.0074689015746116,-64.98676300048828,33.697959899902344,-40.11596298217773,-2.959650754928589,-0.0251767709851264,2.6496410369873047,2.625349760055542,1006.6640625,42.46440505981445,16.562389373779297,4.214
