,dt,gyroX,gyroY,gyroZ
0,0.0,-0.04311403632164,0.0036143269389867,0.0082632601261138
2,0.1,0.0304926633834838,-0.0009670797735452,0.0036814585328102
4,0.2,-0.026926402002573,0.0017816647887229,0.0061244070529937
6,0.3,0.0289653316140174,0.0005598869174718,0.0045968517661094
8,0.401,-0.0284536108374595,0.0026976894587278,0.0027640312910079
10,0.501,0.0292706936597824,-0.0015782359987497,0.0045962333679199
12,0.601,-0.0180698409676551,0.0017813742160797,0.0024579986929893
14,0.701,0.0179696977138519,0.0008650030940771,0.0045956373214721
16,0.802,-0.0027994811534881,0.0030027814209461,0.0030682161450386
18,0.903,-0.0721266269683837,0.0011700857430696,0.0039841756224632
20,1.003,0.0023987367749214,0.0017808023840188,0.0052054673433303
22,1.103,0.1031914949417114,-0.2804389297962188,0.275207906961441
24,1.205,-0.8781635761260986,0.1288407742977142,-0.0458017736673355
26,1.304,0.2925597131252289,0.0054459944367408,-0.0293084233999252
28,1.405,-0.0287553928792476,0.0769172310829162,-0.024726927280426
30,1.504,0.161834567785263,0.0127763766795396,0.0006239786744117
32,1.604,0.0952502489089965,-0.0052441479638218,0.0097869560122489
34,1.705,0.0998317450284957,-0.0070767439901828,0.0003185495734214
36,1.8050000000000002,-0.0315016433596611,-0.0086031844839453,0.0103969499468803
38,1.905,0.1432058215141296,-0.0247911140322685,0.0076480582356452
40,2.005,0.0231688544154167,-0.011656530201435,0.0045933425426483
42,2.106,0.0537075996398925,-0.0076852599158883,-0.0018205791711807
44,2.207,0.0109461173415184,0.0060586985200643,-0.0042636841535568
46,2.307,0.0414858907461166,0.0011716783046722,-0.0027362927794456
48,2.408,-0.0040232315659523,0.0045310575515031,-0.0036522820591926
50,2.508,-0.0428095795214176,0.0005603861063718,-0.0002925023436546
52,2.608,0.0176645964384078,-0.0021883230656385,-0.0024303272366523
54,2.708,-0.0284533351659774,0.0026983730494976,0.0006239414215087
56,2.808,0.0347682982683181,0.004835994914174,-0.0005977377295494
58,2.908,0.0127760767936706,0.0078896582126617,-0.0027355328202247
60,3.008,-0.0089088976383209,0.0054457392543554,-0.0009028613567352
62,3.108,0.0146081894636154,0.0011695828288793,-0.0009027868509292
64,3.208,0.000252828001976,0.0005586706101894,-0.0002918988466262
66,3.308,-0.0357882194221019,0.0069727562367916,0.0018461272120475
68,3.408,-0.0922932550311088,0.00086410343647,0.0049004554748535
70,3.507,-0.0608285814523696,0.0127749033272266,-0.0115919336676597
72,3.608,-0.0715127140283584,0.0026954002678394,0.0049010217189788
74,3.709,-0.0421876348555088,-0.0043291877955198,0.0052060112357139
